department,county,city,base,total,year,AnnualBase,AnnualTotalPay,AnnualBonus,Headcount
BOARD OF CRIME CONTROL,LEWIS AND CLARK,HELENA,3326.2,3446.73,273902,6918496,7169198.4,250702.3999999999,136
BOARD OF PUBLIC EDUCATION,CASCADE,GREAT FALLS,18641.93,18769.14,2197162,38775214.4,39039811.2,264596.8,1091
BOARD OF PUBLIC EDUCATION,GALLATIN,BOZEMAN,72.94,72.94,4023,151715.19999999998,151715.19999999998,0,2
BOARD OF PUBLIC EDUCATION,JEFFERSON,BOULDER,91.28,91.28,6039,189862.4,189862.4,0,3
BOARD OF PUBLIC EDUCATION,LEWIS AND CLARK,HELENA,570.45,604.29,48331,1186536,1256923.2,70387.19999999998,24
BOARD OF PUBLIC EDUCATION,MISSOULA,MISSOULA,106.45,106.45,8050,221416,221416,0,4
BOARD OF PUBLIC EDUCATION,YELLOWSTONE,BILLINGS,154.01,154.01,14098,320340.8,320340.8,0,7
COMMISSIONER OF HIGHER EDUCATION,LEWIS AND CLARK,HELENA,17840.84,18051.32,1280829,37108947.2,37546745.6,437798.40000000014,636
COMMISSIONER OF POLITICAL PRACTICES,LEWIS AND CLARK,HELENA,1147.95,1157.25,104744,2387736,2407080,19343.999999999985,52
DEPARTMENT OF ADMINISTRATION,CUSTER,MILES CITY,145.98000000000002,149.8,12096,303638.4,311584,7945.599999999984,6
DEPARTMENT OF ADMINISTRATION,DAWSON,GLENDIVE,63.1,63.1,6039,131248,131248,0,3
DEPARTMENT OF ADMINISTRATION,LEWIS AND CLARK,HELENA,114743.85,118253.19,8595642,238667208,245966635.2,7299427.2,4268
DEPARTMENT OF ADMINISTRATION,MISSOULA,MISSOULA,254.32,266.94,14098,528985.6,555235.2,26249.59999999999,7
DEPARTMENT OF ADMINISTRATION,YELLOWSTONE,BILLINGS,2110.29,2155.92,142971,4389403.2,4484313.6,94910.4000000001,71
DEPARTMENT OF AGRICULTURE,CASCADE,GREAT FALLS,3641.85,3681.66,465213,7575048,7657852.8,82804.80000000002,231
DEPARTMENT OF AGRICULTURE,FERGUS,LEWISTOWN,162.84,162.84,14111,338707.2,338707.2,0,7
DEPARTMENT OF AGRICULTURE,FLATHEAD,KALISPELL,317.89,325.25,28196,661211.2,676520,15308.80000000001,14
DEPARTMENT OF AGRICULTURE,GALLATIN,BOZEMAN,2341.97,2408.34,203414,4871297.6,5009347.2,138049.59999999995,101
DEPARTMENT OF AGRICULTURE,LAKE,POLSON,86.52,88.28999999999999,8050,179961.6,183643.2,3681.5999999999913,4
DEPARTMENT OF AGRICULTURE,LEWIS AND CLARK,HELENA,16362.86,16677.78,1683506,34034748.8,34689782.4,655033.6000000001,836
DEPARTMENT OF AGRICULTURE,MISSOULA,MISSOULA,429.08,452.71,36255,892486.4,941636.8,49150.4,18
DEPARTMENT OF AGRICULTURE,PONDERA,CONRAD,73.06,74.66,6048,151964.8,155292.8,3328.0000000000073,3
DEPARTMENT OF AGRICULTURE,ROSEBUD,FORSYTH,73.06,75.62,6048,151964.8,157289.6,5324.80000000001,3
DEPARTMENT OF AGRICULTURE,ROSEBUD,HATHAWAY,86.52,88.72,8050,179961.6,184537.6,4575.999999999993,4
DEPARTMENT OF AGRICULTURE,VALLEY,GLASGOW,388.01,404.62,34244,807060.8,841609.6,34548.799999999996,17
DEPARTMENT OF AGRICULTURE,YELLOWSTONE,BILLINGS,512.53,527.71,44308,1066062.4,1097636.8,31574.399999999994,22
DEPARTMENT OF COMMERCE,LEWIS AND CLARK,HELENA,41399.01,42374.43,3206217,86109940.8,88138814.4,2028873.5999999999,1592
DEPARTMENT OF COMMERCE,MADISON,VIRGINIA CITY,775.15,789.04,94751,1612312,1641203.2,28891.199999999975,47
DEPARTMENT OF CORRECTIONS,BEAVERHEAD,DILLON,241.66,249.2,28196,502652.8,518336,15683.199999999997,14
DEPARTMENT OF CORRECTIONS,BIG HORN,HARDIN,423.68,432.03,46325,881254.4,898622.4,17368.000000000007,23
DEPARTMENT OF CORRECTIONS,CASCADE,GREAT FALLS,6741.15,6916.66,690779,14021592,14386652.8,365060.80000000005,343
DEPARTMENT OF CORRECTIONS,CUSTER,MILES CITY,21219.6,21671.85,2221308,44136768,45077448,940680.0000000001,1103
DEPARTMENT OF CORRECTIONS,DAWSON,GLENDIVE,929.64,958.11,86599,1933651.2,1992868.8,59217.60000000003,43
DEPARTMENT OF CORRECTIONS,DEER LODGE,ANACONDA,490.98,533.45,46327,1021238.4,1109576,88337.60000000003,23
DEPARTMENT OF CORRECTIONS,FERGUS,LEWISTOWN,975.1800000000001,977.62,118879,2028374.4000000001,2033449.6,5075.200000000004,59
DEPARTMENT OF CORRECTIONS,FLATHEAD,KALISPELL,3646.34,3726.69,348394,7584387.2,7751515.2,167128.00000000006,173
DEPARTMENT OF CORRECTIONS,GALLATIN,BOZEMAN,1913.22,1940.82,185283,3979497.6,4036905.6,57408.00000000004,92
DEPARTMENT OF CORRECTIONS,GLACIER,CUT BANK,322.98,328.88,30207,671798.4,684070.4,12272.000000000022,15
DEPARTMENT OF CORRECTIONS,HILL,HAVRE,912.98,922.46,88624,1898998.4,1918716.8,19718.399999999987,44
DEPARTMENT OF CORRECTIONS,JEFFERSON,BOULDER,5105.19,5193.94,523577,10618795.2,10803395.2,184600.0000000001,260
DEPARTMENT OF CORRECTIONS,LAKE,POLSON,748,755.6,82576,1555840,1571648,15807.999999999985,41
DEPARTMENT OF CORRECTIONS,LEWIS AND CLARK,HELENA,23621.41,24318.48,1921435,49132532.8,50582438.4,1449905.6,954
DEPARTMENT OF CORRECTIONS,LINCOLN,LIBBY,473.35,493.45,46317,984568,1026376,41807.99999999998,23
DEPARTMENT OF CORRECTIONS,MISSOULA,MISSOULA,5468.17,5614.58,507544,11373793.6,11678326.4,304532.80000000005,252
DEPARTMENT OF CORRECTIONS,PARK,LIVINGSTON,256.68,264.01,30207,533894.4,549140.8,15246.39999999999,15
DEPARTMENT OF CORRECTIONS,POWELL,DEER LODGE,107563.22,110282.48,11415040,223731497.6,229387558.4,5656060.800000001,5668
DEPARTMENT OF CORRECTIONS,RAVALLI,HAMILTON,932.02,942.86,94659,1938601.6,1961148.8,22547.200000000023,47
DEPARTMENT OF CORRECTIONS,RICHLAND,SIDNEY,364.76,365.87,42304,758700.8,761009.6,2308.7999999999993,21
DEPARTMENT OF CORRECTIONS,SANDERS,THOMPSON FALLS,68.2,69.74,8046,141856,145059.2,3203.199999999997,4
DEPARTMENT OF CORRECTIONS,SANDERS,THOMPSON FLS,202.06,207.18,22166,420284.8,430934.4,10649.60000000001,11
DEPARTMENT OF CORRECTIONS,SILVER BOW,BUTTE,2218.87,2293.22,207427,4615249.6,4769897.6,154648.00000000003,103
DEPARTMENT OF CORRECTIONS,TOOLE,SHELBY,752.16,762.53,78550,1564492.8,1586062.4,21569.59999999997,39
DEPARTMENT OF CORRECTIONS,VALLEY,GLASGOW,371.19,381.57,42300,772075.2,793665.6,21590.39999999999,21
DEPARTMENT OF CORRECTIONS,YELLOWSTONE,BILLINGS,18921.03,19359.02,1885202,39355742.4,40266761.6,911019.2000000001,936
DEPARTMENT OF ENVIRONMENTAL QUALITY,FLATHEAD,KALISPELL,1918.9,1970.98,144997,3991312,4099638.4,108326.40000000001,72
DEPARTMENT OF ENVIRONMENTAL QUALITY,GALLATIN,BOZEMAN,330.18,336.8,26209,686774.4,700544,13769.599999999984,13
DEPARTMENT OF ENVIRONMENTAL QUALITY,LEWIS AND CLARK,HELENA,81792.1,84385.63,6178698,170127568,175522110.4,5394542.399999999,3068
DEPARTMENT OF ENVIRONMENTAL QUALITY,MISSOULA,MISSOULA,588.78,609.34,44322,1224662.4,1267427.2,42764.799999999996,22
DEPARTMENT OF ENVIRONMENTAL QUALITY,SILVER BOW,BUTTE,1438.24,1460.47,104710,2991539.2,3037777.6,46238.399999999965,52
DEPARTMENT OF ENVIRONMENTAL QUALITY,YELLOWSTONE,BILLINGS,2700.86,2764.3,207448,5617788.8,5749744,131955.20000000004,103
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",BEAVERHEAD,DILLON,1056.94,1096.94,114915,2198435.2,2281635.2,83199.99999999997,57
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",BIG HORN,PRYOR,83.63,84.44999999999999,8064,173950.4,175656,1705.6000000000058,4
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",BROADWATER,TOWNSEND,148.48,156.10999999999999,14112,308838.4,324708.8,15870.399999999994,7
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",CARBON,BRIDGER,194.76,206.81,18144,405100.8,430164.8,25064.000000000007,9
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",CARBON,ROBERTS,106.97999999999999,108.84,8064,222518.4,226387.2,3868.80000000001,4
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",CASCADE,GREAT FALLS,15415.7,15854.14,1752262,32064656,32976611.2,911955.2000000002,870
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",CASCADE,ULM,15.16,15.16,2017,31532.8,31532.8,0,1
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",CUSTER,MILES CITY,10236.06,10468.43,1168086,21291004.8,21774334.4,483329.6,580
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",DAWSON,GLENDIVE,287.55,289.45,34266,598104,602056,3952.0000000000073,17
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",DEER LODGE,ANACONDA,327.36,331.62,36291,680908.7999999999,689769.6,8860.80000000001,18
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",DEER LODGE,WARM SPRINGS,86.16,90,8064,179212.8,187200,7987.200000000012,4
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",FERGUS,LEWISTOWN,1010,1033.71,102815,2100800,2150116.8,49316.799999999974,51
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",FLATHEAD,BIGFORK,190.39,191.35,28238,396011.2,398008,1996.800000000003,14
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",FLATHEAD,KALISPELL,17725.72,18335.19,2007913,36869497.6,38137195.2,1267697.6,997
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",FLATHEAD,SOMERS,113.59,115.19,12096,236267.2,239595.2,3328,6
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",FLATHEAD,WEST GLACIER,87.53999999999999,88.27,8062,182083.2,183601.6,1518.4000000000015,4
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",GALLATIN,BOZEMAN,19987.75,20474.34,2668074,41574520,42586627.2,1012107.2000000002,1325
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",GALLATIN,THREE FORKS,84.08,86.6,8063,174886.4,180128,5241.60000000002,4
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",GARFIELD,JORDAN,78.02,78.02,8065,162281.6,162281.6,0,4
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",GRANITE,PHILIPSBURG,132.86,134.62,12096,276348.8,280009.6,3660.7999999999884,6
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",HILL,HAVRE,442.84000000000003,460.55,46370,921107.2000000001,957944,36836.79999999999,23
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",JEFFERSON,WHITEHALL,887.38,907.27,139111,1845750.4000000001,1887121.6,41371.2,69
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",LAKE,ARLEE,192.03,200.94,18144,399422.39999999997,417955.2,18532.800000000003,9
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",LAKE,CHARLO,64.62,71.1,6048,134409.59999999998,147888,13478.400000000009,3
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",LEWIS AND CLARK,HELENA,50073.48,51719.41,4392204,104152838.4,107576372.8,3423534.4,2181
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",LINCOLN,EUREKA,316.27,324.76,34270,657841.6,675500.8,17659.200000000004,17
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",LINCOLN,LIBBY,720.84,761.08,68544,1499347.2,1583046.4,83699.20000000001,34
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",MADISON,ENNIS,65.15,69.05,6049,135512,143624,8112,3
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",MISSOULA,LOLO,203.88,208.56,18144,424070.4,433804.8,9734.399999999994,9
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",MISSOULA,MISSOULA,15539.68,16013.29,1784468,32322534.4,33307643.2,985108.8,886
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",MISSOULA,SEELEY LAKE,206.38,210.81,26208,429270.39999999997,438484.8,9214.400000000009,13
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",PARK,LIVINGSTON,235.60999999999999,243.2,20161,490068.8,505856,15787.200000000026,10
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",PONDERA,CONRAD,79.02000000000001,84.96,6048,164361.6,176716.8,12355.199999999983,3
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",RAVALLI,HAMILTON,188.57,198.98,14113,392225.60000000003,413878.4,21652.800000000003,7
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",ROOSEVELT,CULBERTSON,70.03999999999999,70.03999999999999,10080,145683.2,145683.2,0,5
"DEPARTMENT OF FISH, WILDLIFE, AND PARKS",SANDERS,THOMPSON FLS,424.52,435.89,46368,883001.6,906651.2,23649.600000000006,23
